name_cz,name_en,release_year
Brendan a tajemství Kellsu,Brendan and the Secret of Kells(festivalový název),2009
Krátký film o zabíjení,A Short Film About Killing,1987
Chi bi xia: Jue zhan tian xia,Red Cliff: Part II,2009
Stalag 17,Stalag 17,1953
Tisíc dnů s Annou,Anne of the Thousand Days,1969
Papírový měsíc,Paper Moon,1973
Prožít si své peklo,To Each His Hell(neoficiální název),1977
K smrti odsouzený uprchl,A Man Escaped or: The Wind Bloweth Where It Listeth,1956
Kókaku kidótai: Stand Alone Complex - Solid State Society,Ghost in the Shell: Stand Alone Complex - Solid State Society,2006
Maminčin zámek,My Mother's Castle,1990
Maraton,Marathon,2005
Pan Verdoux,Monsieur Verdoux,1947
Červené střevíčky,The Red Shoes,1948
Být či nebýt,To Be or Not to Be,1942
Pelle Dobyvatel,Pelle the Conqueror,1987
Georges Bizet: Carmen,Bizet's Carmen,1984
Avatar,Avatar,2009
Dannyho parťáci,Ocean's Eleven,2001
Ospalá díra,Sleepy Hollow,1999
Auta,Cars,2006
Kokain,Blow,2001
Černí baroni,The Black Barons,1992
Smrtonosná zbraň 3,Lethal Weapon 3,1992
Ghost Dog - Cesta samuraje,Ghost Dog: The Way of the Samurai,1999
Wallace & Gromit: Prokletí králíkodlaka,Wallace & Gromit in The Curse of the Were-Rabbit,2005
Elitní jednotka,"V kinech od19.09.2008
										IFC Films",2007
Asterix a Kleopatra,Asterix and Cleopatra,1968
Tři dny Kondora,Three Days of the Condor,1975
Vyvolávač deště,The Rainmaker,1997
Občan Kane,Citizen Kane,1941
Star Trek VIII: První kontakt,Star Trek VIII: First Contact,1996
Na kometě,On the Comet,1970
Perný den,A Hard Day's Night,1964
V písku - Příslib svobody,Land of Mine,2015
Šaráda,Charade,1963
Porco Rosso,Porco Rosso,1992
Mimo zákon,Down by Law,1986
Ghost in the Shell 2: Innocence,Ghost in the Shell 2: Innocence,2004
Koně se také střílejí,"They Shoot Horses, Don't They?",1969
Život v oblouznění,Living in Oblivion,1995
Záře,Shine,1996
Pod vlivem lásky,Love Exposure,2008
Slídil,Sleuth,1972
Bohémský život,The Bohemian Life,1992
"Jdi, žij a někým se staň","Go, See, and Become",2005
Králův dvojník,Masquerade,2012
Werckmeisterovy harmonie,Werckmeister Harmonies,2000
Avengers,The Avengers,2012
Rocky IV,Rocky IV,1985
Křidýlko nebo stehýnko,The Wing and the Thigh,1976
Je třeba zabít Sekala,Sekal Has to Die,1998
Ip Man 2,Ip Man 2: Legend of the Grandmaster,2010
Piano,The Piano,1993
Jdi a dívej se,Come and See,1985
Tisícročná včela,The Millennial Bee,1983
Křižník Potěmkin,Battleship Potemkin,1925
Provaz,Rope,1948
Příští rok ve stejnou dobu,"Same Time, Next Year",1978
Kafarnaum,Capernaum,2018
Vše o Evě,All About Eve,1950
Pokání,Repentance,1984
Chladnokrevně,In Cold Blood,1967
Kimi no suizó o tabetai,I Want to Eat Your Pancreas,2018
Země zaslíbená,The Promised Land,1974
Císařův slavík,The Emperor's Nightingale,1948
Casino Royale,"V kinech od17.11.2006
										Columbia/Sony",2006
Toy Story 3: Příběh hraček,Toy Story 3,2010
Dařbuján a Pandrhola,,1959
Cesta do zatracení,Road to Perdition,2002
Ostře sledované vlaky,Closely Watched Trains,1966
Bláznivá střela 2 a 1/2: Vůně strachu,The Naked Gun 2½: The Smell of Fear,1991
Aladin,Aladdin,1992
Pošetilost mocných,Delusions of Grandeur,1971
Monty Pythonův smysl života,Monty Python's The Meaning of Life,1983
Dogville,Dogville,2003
Příliš vzdálený most,A Bridge Too Far,1977
Bosé nohy v parku,Barefoot in the Park,1967
Yeopgijeogin geunyeo,My Sassy Girl,2001
Slavíci v kleci,The Chorus,2004
Horalka,Two Women,1960
Vražedná pole,The Killing Fields,1984
Hrabě Monte Christo,The Count of Monte Cristo,1954
Zjizvená tvář,Scarface,1932
Waterloo,Waterloo,1970
Better Man,Better Man,2024
"Sbohem, má konkubíno",Farewell My Concubine,1993
Korunní svědek,Tiger Bay,1959
Strážci Galaxie,Guardians of the Galaxy,2014
Milionář z chatrče,Slumdog Millionaire,2008
"„Pane, vy jste vdova!“","You Are a Widow, Sir",1970
Rozum a cit,Sense and Sensibility,1995
Rosemary má děťátko,Rosemary's Baby,1968
Manhattan,Manhattan,1979
"O dívce, která proskočila časem",The Girl Who Leapt Through Time,2006
...a spravedlnost pro všechny,...And Justice for All,1979
Zločiny a poklesky,Crimes and Misdemeanors,1989
Šťastný Luke - Daisy Town,,1971
Berserk: Ógon džidai hen III – Kórin,Berserk: Golden Age Arc III - Descent,2013
Glory,Glory,2016
Oběť,The Sacrifice,1986
Bitva o Alžír,The Battle of Algiers,1966
"Ima, ai ni jukimasu",Be with You,2004
Bílý žár,White Heat,1949
Špalíček,The Czech Year,1947
Minority Report,Minority Report,2002
X-Men: Budoucí minulost,X-Men: Days of Future Past,2014
Nepřítel před branami,Enemy at the Gates,2001
Kód Enigmy,The Imitation Game,2014
Ed Wood,Ed Wood,1994
Traffic - Nadvláda gangů,Traffic,2000
Veřejný nepřítel č. 1: Epilog,Mesrine Part 2: Public Enemy #1,2008
Francouzská spojka,The French Connection,1971
Chaplin,Chaplin,1992
Smoke,"V kinech od09.06.1995
										Miramax Films",1995
Po svatbě,After the Wedding,2006
Svatý rok,Holy Year,1976
A teď něco úplně jiného,And Now for Something Completely Different,1971
Hamlet,"V kinech od25.12.1996
										Columbia/Sony",1996
Neviditelný muž,The Invisible Man,1933
Jeřábi táhnou,The Cranes Are Flying,1957
Píseň za chudého chlapce,Song for a Raggy Boy,2003
Starý dům uprostřed Madridu,Cria!,1976
Král Lear,King Lear,1970
"Já, robot","I, Robot",2004
Zrození Planety opic,Rise of the Planet of the Apes,2011
Náš vůdce,The Wave,2008
Krycí jméno Donnie Brasco,Donnie Brasco,1997
Karamazovi,The Karamazovs,2008
Braindead - Živí mrtví,Dead Alive,1992
Legenda o slavném návratu,The Legend of Bagger Vance,2000
Všichni moji blízcí,All My Loved Ones,1999
Na pokraji slávy,Almost Famous,2000
Legenda o opilém Mistrovi,Legend of the Drunken Master,1994
Všichni prezidentovi muži,All the President's Men,1976
Baader Meinhof Komplex,The Baader Meinhof Complex,2008
Kundun,Kundun,1997
Skafandr a motýl,The Diving Bell and the Butterfly,2007
Bambi,Bambi,1942
Balón,Balloon,2018
Mňága - Happy End,,1996
Cizinci ve vlaku,Strangers on a Train,1951
Země dinosaurů,The Land Before Time,1988
Pěst legendy,Fist of Legend,1994
Stalo se jedné noci,It Happened One Night,1934
Daft Punk & Leiji Matsumoto's Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,Daft Punk & Leiji Matsumoto: Interstella 5555,2003
Hosté večeře Páně,Winter Light,1963
Polnočná omša,Midnight Mass,1962
Hanba,Shame,1968
Zakázané hry,Forbidden Games,1952
Trosečník,Cast Away,2000
X-Men 2,X-Men 2,2003
S tebou mě baví svět,You Take the Kids!(festivalový název),1982
Tahle země není pro starý,No Country for Old Men,2007
Klub poslední naděje,Dallas Buyers Club,2013
Divoké historky,Wild Tales,2014
Propast,The Abyss,1989
Spotlight,Spotlight,2015
Duše,Soul,2020
Animatrix,The Animatrix,2003
Kam se poděla sedmá rota?,Now Where Did the Seventh Company Get to?,1973
Obávaný bojovník,Fearless,2006
"Anton Špelec, ostrostřelec",,1932
"Muž, který nebyl",The Man Who Wasn't There,2001
Před úsvitem,Before Sunrise,1995
Kam orli nelétají,"V kinech od12.03.1969
										Metro-Goldwyn-Mayer (MGM)",1968
Valentin Dobrotivý,,1942
Půlnoční expres,"V kinech od06.10.1978
										Columbia Pictures US",1978
"Ronja, dcera loupežníka",Ronia: The Robber's Daughter,1984
Perfect Blue,Perfect Blue,1997
Země,Earth,1996
Zvláštní den,A Special Day,1977
Stalo se za bílého dne,It Happened in Broad Daylight,1958
Tatami,Tatami,2023
Suzumija Haruhi no šóšicu,The Disappearance of Haruhi Suzumiya,2010
"Sbohem, pane profesore!","Goodbye, Mr. Chips",1969
Slovo,The Word,1955
Marie-Octobre,Marie-October,1959
Iron Man,Iron Man,2008
District 9,District 9,2009
Osm hrozných,The Hateful Eight,2015
V zajetí démonů,The Conjuring,2013
Je to i můj život,My Sister's Keeper,2009
Tootsie,Tootsie,1982
Modrý samet,Blue Velvet,1986
Uprchlíci,The Fugitives,1986
Méďa Béďa,"Hey There, It's Yogi Bear",1964
Killer,The Killer,1989
Stíny horkého léta,Shadows of a Hot Summer,1977
Zkrocení zlé ženy,The Taming of the Shrew,1967
Smuteční slavnost,Funeral Ceremonies,1969
Most,The Bridge,1959
Neuvěřitelný zmenšující se muž,The Incredible Shrinking Man,1957
Sen noci svatojánské,A Midsummer Night's Dream,1959
Dědička,The Heiress,1949
Unavená smrt,Between Two Worlds,1921
Valkýra,Valkyrie,2008
Duna,Dune: Part One,2021
Pýcha a předsudek,Pride & Prejudice,2005
Štěstí na dosah,The Pursuit of Happyness,2006
Bezva finta,Hold-Up,1985
Lost Highway,Lost Highway,1997
Život Davida Galea,The Life of David Gale,2003
Americký zločin,An American Crime,2007
Vrah skrývá tvář,The Murderer Hides His Face,1966
Dumbo,Dumbo,1941
Tři barvy: Modrá,"V kinech od31.03.2023
										Curzon Film",1993
Hrabě Monte Christo,The Count of Monte-Cristo,2024
Jmenuji se Khan,My Name is Khan,2010
Africká Královna,The African Queen,1951
Chi bi,Red Cliff: Part I,2008
Berserk: Ógon džidai hen I – Haó no tamago,Berserk: Golden Age Arc I - The Egg of the King,2012
Rocco a jeho bratři,Rocco and His Brothers,1960
Tatínkova sláva,My Father's Glory,1990
Kes,Kes,1969
Balada o Narajamě,The Ballad of Narayama,1983
Skryté ostří,The Hidden Blade,2004
Šarlatová ulice,Scarlet Street,1945
X-Men,X-Men,2000
Pomáda,Grease,1978
Pyšná princezna,The Proud Princess,1952
Policajt v Beverly Hills,Beverly Hills Cop,1984
Mulholland Drive,Mulholland Drive,2001
Prvotní strach,Primal Fear,1996
Old Boy,Oldboy,2003
Chlast,Another Round,2020
Černá kniha,Black Book,2006
Mluv s ní,Talk to Her,2002
The Covenant,The Covenant,2023
Spartakus,Spartacus,1960
Velký bazar,The Big Store,1973
36. komnata Shaolinu,The 36th Chamber of Shaolin,1978
Kačeří příběhy: Poklad ze ztracené lampy,DuckTales The Movie - Treasure of the Lost Lamp,1990
Kukačka,The Cuckoo,2002
Tři mušketýři: Královniny přívěsky,The Fighting Musketeers,1961
El Dorado,El Dorado,1966
Zrůdy,Freaks,1932
Jánošík,,1963
Krvavý trůn,Throne of Blood,1957
Anděl zkázy,The Exterminating Angel,1962
Keulraesik,The Classic,2003
Grand Prix,Grand Prix,1966
Potopa,The Deluge,1974
Pouto nejsilnější,Brief Encounter,1945
Strom na dřeváky,The Tree of Wooden Clogs,1978
Vlk samotář a mládě 2: Řeka smrti,Lone Wolf and Cub: Baby Cart at the River Styx,1972
Vlk samotář a mládě 3: Proti vichru smrti,Lone Wolf and Cub: Baby Cart to Hades,1972
"Frigo, oběť krevní msty",Our Hospitality,1923
Srdce je osamělý lovec,The Heart Is a Lonely Hunter,1968
Kingsman: Tajná služba,Kingsman: The Secret Service,2014
Dívka na koštěti,The Girl on the Broomstick,1971
Vzhůru do oblak,Up,2009
Total Recall,Total Recall,1990
Velká šestka,Big Hero 6,2014
Master & Commander: Odvrácená strana světa,Master and Commander: The Far Side of the World,2003
Lovci hlav,Headhunters,2011
Princ Egyptský,The Prince of Egypt,1998
Hrdinové ohně,Only the Brave,2017
Mravnost nade vše,Morality Above All Else,1937
Dívka v modrém,Girl in Blue,1939
Psí odpoledne,Dog Day Afternoon,1975
Hard Boiled,Hard Boiled,1992
"4 měsíce, 3 týdny a 2 dny","4 Months, 3 Weeks and 2 Days",2007
Třetí muž,The 3rd Man,1949
"Romeo, Julie a tma","Romeo, Juliet and Darkness",1959
Divoká planeta,Fantastic Planet,1973
Milenci ze severního pólu,Lovers of the Arctic Circle,1998
Klér,Kler,2018
Brankář,The Keeper,2018
Viridiana,Viridiana,1961
Onibaba,Onibaba,1964
Fitzcarraldo,,1982
Žízeň po životě,Lust for Life,1956
Karlík a továrna na čokoládu,Charlie and the Chocolate Factory,2005
Thor: Ragnarok,Thor: Ragnarok,2017
V Bruggách,In Bruges,2008
V hlavě,Inside Out,2015
"Ten, kdo stojí v koutě",The Perks of Being a Wallflower,2012
Pád Třetí říše,Downfall,2004
Kontakt,Contact,1997
Raubíř Ralf,Wreck-It Ralph,2012
Taxikář,Taxi Driver,1976
Záměna,Trading Places,1983
Poslední souboj,The Last Duel,2021
Vítězové a poražení,Any Given Sunday,1999
Před soumrakem,Before Sunset,2004
Marketa Lazarová,Marketa Lazarová,1967
Tucet špinavců,The Dirty Dozen,1967
Straight Outta Compton,Straight Outta Compton,2015
Ten kluk,Boy A,2007
Hlas moře,The Sea Inside,2004
"Legenda o ""1900""",The Legend of the Pianist on the Ocean,1998
Šepot srdce,Whisper of the Heart,1995
Signum laudis,Signum Laudis,1980
Mastičkář,Forgotten Love,2023
All That Jazz,All That Jazz,1979
"Vidíš měsíc, Danieli",Held for Ransom,2019
Příběh Marie,Marie's Story,2014
Příběh z Tokia,,1953
Dětské tváře,Faces of Children,1925
Skyfall,"V kinech od09.11.2012
										Sony Pictures",2012
Ať žijí duchové!,Long Live Ghosts!,1977
Ready Player One: Hra začíná,Ready Player One,2018
Muž na Měsíci,"V kinech od22.12.1999
										Universal Pictures US",1999
Lid versus Larry Flynt,The People vs. Larry Flynt,1996
Hodiny,The Hours,2002
"Má mě rád, nemá mě rád",Flipped,2010
Vymítač ďábla,The Exorcist,1973
Saturnin,Saturnin,1994
Legendy z Dogtownu,Lords of Dogtown,2005
Sudá a lichá,Trinity: Gambling for High Stakes,1978
Tarzan,Tarzan,1999
Hořký měsíc,Bitter Moon,1992
Není král jako král,The Emperor's New Groove,2000
Kleopatra,Cleopatra,1963
West Side Story,West Side Story,1961
Golfový sen,The Greatest Game Ever Played,2005
Pytlákova schovanka aneb Šlechetný milionář,The Poacher's Foster Daughter or Noble Millionaire,1949
Volavka,Infernal Affairs,2002
V rytmu srdce,CODA,2021
Dolores Claiborneová,Dolores Claiborne,1995
Hra na pláč,"V kinech od25.11.1992
										Miramax Films",1992
Dealer III,I'm the Angel of Death: Pusher III,2005
Rosencrantz a Guildenstern jsou mrtvi,Rosencrantz & Guildenstern Are Dead,1990
Jak jsem se stal gangsterem,How I Became a Gangster. True Story,2019
Poslední představení,The Last Picture Show,1971
Zázrak v New Yorku,Miracle on 34th Street,1947
Dny vína a růží,Days of Wine and Roses,1962
Hobit: Neočekávaná cesta,The Hobbit: An Unexpected Journey,2012
Duch,Ghost,1990
Předčítač,The Reader,2008
Edith Piaf,La Vie en rose,2007
Hrdina,Hero,2002
Room,Room,2015
Odpojit,Disconnect,2012
Král rybář,The Fisher King,1991
Oddělen,Detachment,2011
Když Burian prášil,Baron Munchhausen,1940
Sledování,Following,1998
Svatba jako řemen,,1967
Trio z Belleville,The Triplets of Belleville,2003
Akira,,1988
Purpurová barva,The Color Purple,1985
Místnost sebevrahů. Hater,The Hater,2020
Požáry,Incendies,2010
Seber prachy a zmiz,Take the Money and Run,1969
Kovboj Bebop: Lovec odměn,Cowboy Bebop: The Movie,2001
Bohem zapomenuté děti,Children of a Lesser God,1986
Strach jíst duše,Ali: Fear Eats the Soul,1974
Malý svět dona Camilla,The Little World of Don Camillo,1952
Deadpool,Deadpool,2016
Coach Carter,Coach Carter,2005
Psí poslání,A Dog's Purpose,2017
Malý princ,The Little Prince,2015
Složka 64,The Purity of Vengeance,2018
Nebezpečné známosti,Dangerous Liaisons,1988
